"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA01g11390D"	"Vacuolar protein sorting-associated, VPS28, Vacuolar protein sorting-associated, VPS28, N-terminal, Vacuolar protein sorting-associated, VPS28, C-terminal"
"BnaA01g11660D"	"Peptide methionine sulphoxide reductase MrsB, Mss4-like"
"BnaA01g11960D"	NA
"BnaA01g12040D"	"NIF system FeS cluster assembly, NifU, N-terminal, ISC system FeS cluster assembly, IscU scaffold"
"BnaA01g12130D"	NA
"BnaA01g12230D"	"Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain"
"BnaA01g12270D"	"Methyltransferase type 11"
"BnaA01g12440D"	"Fatty acid hydroxylase"
"BnaA01g12510D"	"Uncharacterised protein family Ycf49"
"BnaA01g12860D"	"Prenylated rab acceptor PRA1"
"BnaA01g13040D"	"Short-chain dehydrogenase/reductase SDR, Glucose/ribitol dehydrogenase, NAD(P)-binding domain"
"BnaA01g13050D"	"Toll/interleukin-1 receptor homology (TIR) domain"
"BnaA01g13160D"	"Protein of unknown function DUF295"
"BnaA01g13510D"	"Protein of unknown function DUF3252"
"BnaA01g13640D"	"Kinesin, motor domain, Kinesin, motor region, conserved site, Protein of unknown function DUF3490"
"BnaA01g14250D"	NA
"BnaA01g14380D"	NA
"BnaA01g14510D"	"Uncharacterised conserved protein UCP012943"
"BnaA01g14560D"	"Alpha crystallin/Hsp20 domain, HSP20-like chaperone"
"BnaA01g14940D"	"Fatty acid hydroxylase"
"BnaA01g14950D"	"Glutamine cyclotransferase, Quinoprotein amine dehydrogenase, beta chain-like, WD40/YVTN repeat-like-containing domain"
"BnaA01g15010D"	"Uncharacterised protein family UPF0497, trans-membrane plant subgroup, Uncharacterised protein family UPF0497, trans-membrane plant"
"BnaA01g15100D"	"NIF system FeS cluster assembly, NifU, C-terminal"
"BnaA01g15390D"	"Ribosomal protein L31e, Ribosomal protein L31e, conserved site, Ribosomal protein L31e domain"
"BnaA01g15640D"	"Fructose-bisphosphate aldolase, class-I, Aldolase-type TIM barrel"
"BnaA01g15710D"	"Tetrapeptide transporter, OPT1/isp4, Oligopeptide transporter OPT superfamily"
"BnaA01g16010D"	"Histidine biosynthesis, HisF, Histidine biosynthesis, Ribulose-phosphate binding barrel, Aldolase-type TIM barrel"
"BnaA01g16450D"	"Domain of unknown function DUF3700"
"BnaA01g17170D"	"Peptidase A1, Peptidase aspartic, active site, Aspartic peptidase"
"BnaA01g17570D"	"Cysteine peptidase, cysteine active site, Peptidase C1A, papain C-terminal, Peptidase C1A, papain, Proteinase inhibitor I29, cathepsin propeptide, Cysteine peptidase, asparagine active site"
"BnaA01g18320D"	NA
"BnaA01g18340D"	"AIG1, Heat shock factor binding 1"
"BnaA01g18410D"	NA
"BnaA01g18750D"	"Cytidyltransferase-like domain, Rossmann-like alpha/beta/alpha sandwich fold"
"BnaA01g18800D"	"Tudor domain"
"BnaA01g18880D"	"Cysteine synthase/cystathionine beta-synthase P-phosphate-binding site, Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily"
"BnaA01g18940D"	"F-box domain, cyclin-like, F-box associated domain, type 3, F-box associated interaction domain"
"BnaA01g18960D"	"CRC domain"
"BnaA01g19210D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, NAF domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, NAF/FISL domain, Tyrosine-protein kinase, catalytic domain"
"BnaA01g19310D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA01g19500D"	"Protein phosphatase 2C, manganese/magnesium aspartate binding site, Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaA01g19660D"	"Putative S-adenosyl-L-methionine-dependent methyltransferase"
"BnaA01g19750D"	"Photosystem II PsbO, manganese-stabilising"
"BnaA01g20350D"	"Lipase, class 3"
"BnaA01g20410D"	"Drug/metabolite transporter"
"BnaA01g20530D"	"F-box domain, cyclin-like"
"BnaA01g20790D"	"Cysteine peptidase, cysteine active site, Peptidase C1A, papain C-terminal, Peptidase C1A, papain, Proteinase inhibitor I29, cathepsin propeptide, Cysteine peptidase, histidine active site, Cysteine peptidase, asparagine active site"
"BnaA01g21580D"	"Basic-leucine zipper domain"
"BnaA01g21980D"	"Cation-transporting P-type ATPase, Phospholipid-transporting  P-type ATPase, subfamily IV, P-type ATPase, A  domain, P-type ATPase, phosphorylation site, HAD-like domain, P-type ATPase, cytoplasmic domain N"
"BnaA01g21990D"	"Protein of unknown function DUF2930"
"BnaA01g22000D"	"HEAT, Armadillo-like helical, Armadillo-type fold, HEAT repeat associated with sister chromatid cohesion protein"
"BnaA01g22010D"	NA
"BnaA01g22030D"	"Paired amphipathic helix, Histone deacetylase interacting"
"BnaA01g22040D"	"Dehydrogenase, E1 component, Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y"
"BnaA01g22050D"	"Actin-binding FH2/DRF autoregulatory, Actin-binding FH2"
"BnaA01g22110D"	"Protein of unknown function DUF4228"
"BnaA01g22120D"	"Xanthine/uracil/vitamin C permease"
"BnaA01g22130D"	NA
"BnaA01g22150D"	"Transcription factor MYC/MYB N-terminal"
"BnaA01g22170D"	"Cyclic nucleotide-binding domain, RmlC-like jelly roll fold, Cyclic nucleotide-binding-like"
"BnaA01g22440D"	"UbiA prenyltransferase family, 1,4-dihydroxy-2-naphthoate phytyltransferase"
"BnaA01g22540D"	"Cytochrome b5-like heme/steroid binding domain, Cytochrome b5, heme-binding site"
"BnaA01g22710D"	NA
"BnaA01g22940D"	"Mitochodrial transcription termination factor-related"
"BnaA01g22980D"	"Protein of unknown function DUF4228"
"BnaA01g23390D"	NA
"BnaA01g23420D"	"Protein kinase, catalytic domain, Aminoglycoside phosphotransferase, UbiB domain, Protein kinase-like domain"
"BnaA01g23640D"	NA
"BnaA01g23690D"	"UBX"
"BnaA01g23710D"	"Glucosylceramidase, Six-hairpin glycosidase-like, Six-hairpin glycosidase, Beta-glucosidase, GBA2 type, Beta-glucosidase, GBA2 type, N-terminal"
"BnaA01g24020D"	"Myc-type, basic helix-loop-helix (bHLH) domain"
"BnaA01g24480D"	NA
"BnaA01g25240D"	NA
"BnaA01g25610D"	"mRNA (guanine-N(7))-methyltransferase domain, mRNA (guanine-N(7))-methyltransferase"
"BnaA01g25880D"	"FAD linked oxidase, N-terminal, FAD-binding, type 2, CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2"
"BnaA01g26040D"	"Protein of unknown function DUF566"
"BnaA01g26290D"	"Ubiquitin, Bromodomain, TAFII-230 TBP-binding, Bromodomain, conserved site, Ubiquitin supergroup, Transcription initiation factor TFIID subunit 1, domain of unknown function"
"BnaA01g26490D"	"Isy1-like splicing"
"BnaA01g26560D"	"Ribosomal protein L30e, Ribosomal protein L7Ae/L30e/S12e/Gadd45, Ribosomal protein L30e, conserved site"
"BnaA01g26750D"	"NADH-ubiquinone oxidoreductase, subunit 10, Complex I subunit NDUFS6"
"BnaA01g26810D"	"Protein of unknown function DUF1639"
"BnaA01g27020D"	NA
"BnaA01g27040D"	NA
"BnaA01g27470D"	"Ubiquitin-conjugating enzyme, E2, Ubiquitin-conjugating enzyme/RWD-like"
"BnaA01g27740D"	"Pentatricopeptide repeat"
"BnaA01g27880D"	"Heat shock protein DnaJ, cysteine-rich domain"
"BnaA01g28100D"	"Plant self-incompatibility response"
"BnaA01g28200D"	"Photosystem I PsaH, reaction centre subunit VI"
"BnaA01g28500D"	"Methyl-CpG DNA binding, DNA-binding, integrase-type"
"BnaA01g28850D"	"Ubiquitin-conjugating enzyme, E2, Ubiquitin-conjugating enzyme/RWD-like"
"BnaA01g29050D"	"Transcription factor, TCP, Transcription factor TCP subgroup"
"BnaA01g29060D"	NA
"BnaA01g29080D"	"Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A"
"BnaA01g29390D"	"Carotenoid oxygenase"
"BnaA01g29550D"	NA
"BnaA01g29560D"	"FMN-dependent dehydrogenase, FMN-dependent alpha-hydroxy acid dehydrogenase, active site, Alpha-hydroxy acid dehydrogenase, FMN-dependent, Aldolase-type TIM barrel"
"BnaA01g29650D"	"CCAAT-binding transcription factor, subunit B, CCAAT-binding factor, conserved site"
"BnaA01g29730D"	"Zinc knuckle CX2CX4HX4C"
"BnaA01g29740D"	NA
"BnaA01g29850D"	NA
"BnaA01g30430D"	"RNA recognition motif domain, PWI domain, Nucleotide-binding, alpha-beta plait"
"BnaA01g30460D"	"Leucine-rich repeat, Leucine-rich repeat-containing N-terminal, type 2, Leucine rich repeat 4"
"BnaA01g30480D"	NA
"BnaA01g30570D"	"Proteinase inhibitor I25, cystatin, Proteinase inhibitor I25, cystatin, conserved region, Cystatin"
"BnaA01g30780D"	"Peptidase S10, serine carboxypeptidase"
"BnaA01g30790D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Tyrosine-protein kinase, active site, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain"
"BnaA01g30930D"	"Cleavage/polyadenylation specificity factor, A subunit, C-terminal, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain"
"BnaA01g30950D"	"Lipase, GDSL, SGNH hydrolase-type esterase domain"
"BnaA01g30990D"	NA
"BnaA01g31070D"	"Myb/SANT-like domain"
"BnaA01g31130D"	"Zinc finger, PHD-type, Zinc finger, FYVE/PHD-type, Zinc finger, RING/FYVE/PHD-type, Zinc finger, PHD-type, conserved site, Zinc finger, PHD-finger, Protein of unknown function DUF3594"
"BnaA01g31170D"	"Clathrin, heavy chain/VPS, 7-fold repeat, Clathrin, heavy chain, propeller, N-terminal, Tetratricopeptide-like helical, Clathrin, heavy chain, linker, core motif, Armadillo-type fold, Clathrin, heavy chain, linker/propeller domain, Clathrin, heavy chain, Clathrin, heavy chain, propeller repeat"
"BnaA01g31240D"	"Leucine-rich repeat, Leucine-rich repeat, typical subtype, Leucine-rich repeat-containing N-terminal, type 2, Leucine rich repeat 4"
"BnaA01g31250D"	"Glycoside hydrolase, family 85"
"BnaA01g31390D"	NA
"BnaA01g31510D"	"Alpha crystallin/Hsp20 domain, HSP20-like chaperone"
"BnaA01g31610D"	"WD40 repeat, BING4, C-terminal domain, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain"
"BnaA01g31690D"	"Zinc finger, C2H2, Zinc finger, C2H2-like"
"BnaA01g32200D"	"SANT/Myb domain, Myb domain, plants, Homeodomain-like, Myb domain"
"BnaA01g32290D"	"Protein kinase, catalytic domain, AGC-kinase, C-terminal, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Protein kinase, C-terminal, Tyrosine-protein kinase, catalytic domain"
"BnaA01g32680D"	"PAS domain, Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain, Serine/threonine-protein kinase CTR1"
"BnaA01g32690D"	NA
"BnaA01g32710D"	"PAS domain, Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain, Serine/threonine-protein kinase CTR1"
"BnaA01g32720D"	NA
"BnaA01g32790D"	"Glycoside hydrolase, family 1, Glycoside hydrolase, catalytic domain, Glycoside hydrolase, superfamily, Glycoside hydrolase, family 1, active site"
"BnaA01g33040D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA01g33120D"	"Actin-related protein, GDP-fucose protein O-fucosyltransferase, Actin/actin-like conserved site"
"BnaA01g33250D"	"Protein of unknown function DUF4336"
"BnaA01g33280D"	"Ubiquitin-associated/translation elongation factor EF1B, N-terminal, Protein kinase, catalytic domain, Kinase associated domain 1 (KA1), Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA01g33320D"	"Starch synthase, catalytic domain"
"BnaA01g33330D"	"Sugar/inositol transporter, General substrate transporter, Sugar transporter, conserved site, Major facilitator superfamily domain, general substrate transporter, Major facilitator superfamily domain"
"BnaA01g33710D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, NB-ARC"
"BnaA01g35330D"	"Pleckstrin homology domain, Domain of unknown function DUF828, Pleckstrin-like, plant"
"BnaA01g35400D"	"Histidine triad (HIT) protein, HIT-like domain"
"BnaA01g35450D"	"Probable helicase MAGATAMA 3"
"BnaA01g35820D"	"Helicase, C-terminal, DNA/RNA helicase, DEAD/DEAH box type, N-terminal, DSH, C-terminal, Helicase, superfamily 1/2, ATP-binding domain, RNA helicase, ATP-dependent, SK12/DOB1, rRNA-processing arch domain"
"BnaA01g35830D"	"AUX/IAA protein, B3 DNA binding domain, Auxin response factor, Aux/IAA-ARF-dimerisation, DNA-binding pseudobarrel domain"
"BnaA01g36040D"	NA
"BnaA01g36180D"	"Zinc finger, FYVE-type, Zinc finger, FYVE/PHD-type, Tetratricopeptide-like helical, Zinc finger, RING/FYVE/PHD-type, Zinc finger, FYVE-related, Tetratricopeptide repeat"
"BnaA01g36980D"	"Zinc finger, BED-type predicted, Domain of unknown function DUF659, HAT dimerisation, Ribonuclease H-like domain"
"BnaA01g37280D"	"Glutathione peroxidase, Thioredoxin-like fold"
"BnaA02g00100D"	"Lactate/malate dehydrogenase, N-terminal, Malate dehydrogenase, active site, L-lactate/malate dehydrogenase, Malate dehydrogenase, type 1, Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal, NAD(P)-binding domain, Lactate/malate dehydrogenase, C-terminal"
"BnaA02g00210D"	"THO complex, subunit THOC1"
"BnaA02g00450D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Adenovirus E3 region protein CR2, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Leucine-rich repeat-containing N-terminal, type 2, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA02g00470D"	"Ribosomal protein S6e, Ribosomal protein S6, eukaryotic, Ribosomal protein S6e, conserved site"
"BnaA02g00520D"	NA
"BnaA02g00700D"	"Enhancer of rudimentary, Biopterin transport-related protein BT1, Major facilitator superfamily domain, general substrate transporter"
"BnaA02g00710D"	"Methyltransferase type 11"
"BnaA02g00910D"	"WD40 repeat, Small-subunit processome, Utp12, Quinonprotein alcohol dehydrogenase-like-superfamily, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaA02g00920D"	"cAMP response element binding (CREB) protein, Basic-leucine zipper domain"
"BnaA02g01140D"	"Proteinase inhibitor I25, cystatin, Proteinase inhibitor I25, cystatin, conserved site, Proteinase inhibitor I25, cystatin, conserved region, Cystatin"
"BnaA02g01210D"	"Nuclear control of ATP synthase 2"
"BnaA02g01370D"	"Helicase, C-terminal, Helicase-associated domain, DNA/RNA helicase, DEAD/DEAH box type, N-terminal, Domain of unknown function DUF1605, Helicase, superfamily 1/2, ATP-binding domain"
"BnaA02g01380D"	"EMSY N-terminal, Tudor-like, plant"
"BnaA02g01640D"	"ATPase, F1 complex, OSCP/delta subunit, F1F0 ATP synthase OSCP/delta subunit, N-terminal domain"
"BnaA02g01650D"	"IQ motif, EF-hand binding site, Domain of unknown function DUF4005"
"BnaA02g01720D"	"NUDIX hydrolase domain, mRNA decapping protein 2, Box A, NUDIX hydrolase domain-like, NUDIX hydrolase, conserved site"
"BnaA02g01770D"	"Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase"
"BnaA02g01790D"	NA
"BnaA02g01810D"	"Alpha-N-acetylglucosaminidase, Alpha-N-acetylglucosaminidase, N-terminal, Alpha-N-acetylglucosaminidase, C-terminal, Alpha-N-acetylglucosaminidase, tim-barrel domain"
"BnaA02g01820D"	"Uncharacterised protein family UPF0114, Uncharacterised protein family UPF0114, plant"
"BnaA02g01840D"	"Tetracycline resistance protein, TetA/multidrug resistance protein MdtG, Major facilitator superfamily, Major facilitator superfamily domain, general substrate transporter, Major facilitator superfamily domain"
"BnaA02g01850D"	"Major facilitator superfamily domain, general substrate transporter"
"BnaA02g01870D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA02g01880D"	NA
"BnaA02g01970D"	"Translocon-associated protein subunit beta"
"BnaA02g01980D"	"Mitochondrial substrate/solute carrier, Mitochondrial carrier domain"
"BnaA02g02050D"	"Proteasome component (PCI) domain, Winged helix-turn-helix transcription repressor DNA-binding domain"
"BnaA02g02080D"	"Ribosomal protein L18/L5"
"BnaA02g02120D"	"Ubiquitin, Ubiquitin supergroup"
"BnaA02g02130D"	"CCT domain"
"BnaA02g02140D"	NA
"BnaA02g02350D"	"Heavy metal-associated domain, HMA"
"BnaA02g02400D"	"Transcription factor E2F/dimerisation partner (TDP), Winged helix-turn-helix transcription repressor DNA-binding domain, E2F Family"
"BnaA02g02430D"	"Prolamin-like domain"
"BnaA02g02440D"	"Pentatricopeptide repeat"
"BnaA02g02540D"	"Ribosomal protein S4/S9, N-terminal, RNA-binding S4 domain, Ribosomal protein S4/S9, eukaryotic/archaeal, Ribosomal protein S4, conserved site, Ribosomal protein S4/S9"
"BnaA02g02590D"	"U box domain, Zinc finger, RING/FYVE/PHD-type, Ubiquitin conjugation factor E4, core"
"BnaA02g02600D"	"Calmodulin-binding domain, plant"
"BnaA02g02610D"	"Chaperonin ClpA/B, ATPase, AAA-2, Clp ATPase, C-terminal"
"BnaA02g02620D"	"AAA+ ATPase domain, ATPase, AAA-type, core, Clp, N-terminal, Chaperonin ClpA/B, conserved site, Double Clp-N motif"
"BnaA02g02630D"	"Glycosyl transferase, family 8"
"BnaA02g02650D"	"TPX2, TPX2, C-terminal domain"
"BnaA02g02690D"	NA
"BnaA02g02820D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA02g02890D"	"Rab-GTPase-TBC domain"
"BnaA02g02990D"	"Alpha/beta hydrolase fold-1, Ribosomal protein S7e"
"BnaA02g03020D"	"Armadillo-like helical, Armadillo-type fold, HEAT, type 2"
"BnaA02g03070D"	"Zinc finger protein 706"
"BnaA02g03110D"	"Reversibly glycosylated polypeptide family"
"BnaA02g03150D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Protein kinase-like domain, Leucine-rich repeat-containing N-terminal, type 2, Tyrosine-protein kinase, catalytic domain, Leucine rich repeat 4"
"BnaA02g03170D"	"SANT/Myb domain, Homeodomain-like, Myb domain"
"BnaA02g03370D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaA02g03400D"	"PDZ domain, Rubredoxin-type fold, Rubredoxin-like domain"
"BnaA02g03420D"	"Glycoside hydrolase, family 28, Parallel beta-helix repeat, Pectin lyase fold/virulence factor, Pectin lyase fold"
"BnaA02g03480D"	"SET domain, Rubisco LS methyltransferase, substrate-binding domain"
"BnaA02g03490D"	"Oxidoreductase-like, N-terminal"
"BnaA02g03500D"	"Autophagy-related protein 5"
"BnaA02g03510D"	"SANT/Myb domain, Myb domain, plants, Homeodomain-like, Myb domain"
"BnaA02g03570D"	"Mitochondrial carrier protein, Adenine nucleotide translocator 1, Mitochondrial substrate/solute carrier, Mitochondrial carrier domain"
"BnaA02g03580D"	"Zinc finger, RING-type, Cellulose synthase, Zinc finger, RING/FYVE/PHD-type"
"BnaA02g03620D"	NA
"BnaA02g03770D"	"Methionine synthase, vitamin-B12 independent, Cobalamin-independent methionine synthase, Cobalamin (vitamin B12)-independent methionine synthase MetE, N-terminal"
"BnaA02g03790D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, NB-ARC, AAA+ ATPase domain, Leucine-rich repeat 3"
"BnaA02g03850D"	"Glycosyl transferase, family 3, Anthranilate phosphoribosyl transferase, Glycosyl transferase family 3, N-terminal domain"
"BnaA02g03860D"	"B3 DNA binding domain, DNA-binding pseudobarrel domain"
"BnaA02g04080D"	"Disease resistance protein, NB-ARC, Leucine-rich repeat 3"
"BnaA02g04100D"	NA
"BnaA02g04110D"	"Nuclear fragile X mental retardation-interacting protein 1, conserved domain"
"BnaA02g04210D"	"DNA/RNA-binding domain, Est1-type, Telomerase activating protein Est1"
"BnaA02g04220D"	"Plant self-incompatibility response"
"BnaA02g04300D"	"Aspartate/other aminotransferase, Aminotransferases, class-I, pyridoxal-phosphate-binding site, Aminotransferase, class I/classII, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase"
"BnaA02g04440D"	"Pectinesterase, catalytic, Transferrin receptor-like, dimerisation domain, Pectin lyase fold/virulence factor, Pectin lyase fold, Pectinesterase, active site"
"BnaA02g04460D"	"Tubulin, Alpha tubulin, Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, C-terminal, Beta tubulin, autoregulation binding site, Tubulin, conserved site, Tubulin/FtsZ, 2-layer sandwich domain, Tubulin, C-terminal"
"BnaA02g04470D"	"Tubulin, Alpha tubulin, Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, C-terminal, Beta tubulin, autoregulation binding site, Tubulin, conserved site, Tubulin/FtsZ, 2-layer sandwich domain, Tubulin, C-terminal"
"BnaA02g04600D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA02g04730D"	"SPX, N-terminal"
"BnaA02g04890D"	"IQ motif, EF-hand binding site, Myosin head, motor domain, Dilute, Myosin, N-terminal, SH3-like, Dil domain"
"BnaA02g04900D"	"Glutaredoxin, Glutaredoxin active site, Thioredoxin-like fold, Glutaredoxin subgroup"
"BnaA02g05290D"	"Argonaute/Dicer protein, PAZ, Stem cell self-renewal protein Piwi, Ribonuclease H-like domain, Domain of unknown function DUF1785"
"BnaA02g05370D"	NA
"BnaA02g05400D"	NA
"BnaA02g05440D"	"DnaJ domain"
"BnaA02g05460D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA02g05810D"	NA
"BnaA02g06620D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait, Friend of PRMT1 duplication"
"BnaA02g06840D"	"Protein of unknown function DUF966, Uncharacterised conserved protein UCP031043"
